project_id,project_name,country,archetype,outlier_score,ext_terms,crypto_terms,cluster_id,what_is_actually_built,neighborhood_sparsity,local_density,raw_bridge_score,norm_sparsity,archetype_freq,archetype_uniqueness,cross_domain_vocab,norm_cross_domain,cluster_size,final_outlier_score,commodity_score
1842_Black Box,Black Box,Unknown,UNKNOWN,0.452,0,0,2,unclear from transcript,0.03268617624488443,121,0.2,0.06869767825703216,127,0.007874015748031496,0.0,0.0,101,0.27252530800383673,0.8368132097204857
2517_LBC NETWORK,LBC NETWORK,Unknown,UNKNOWN,0.453,0,0,2,unclear from transcript,0.032883617475093226,121,0.2,0.06911264738667085,127,0.007874015748031496,0.0,0.0,101,0.2731764630866327,0.8355698553272088
1506_Velora Meet,Velora Meet,Unknown,UNKNOWN,0.0,0,0,2,unclear from transcript,0.03389689365808153,121,0.2,0.07124228533156013,127,0.007874015748031496,0.0,0.0,101,0.034091808202134,0.8292466090554313
2556_Tether  Receipt to Crypto,Tether  Receipt to Crypto,Unknown,UNKNOWN,0.619,0,0,2,unclear from transcript,0.03449476434823226,121,0.2,0.07249885104311878,127,0.007874015748031496,0.0,0.0,101,0.3620129528727474,0.8255603522344785
0983_GoTo Pay,GoTo Pay,Unknown,UNKNOWN,0.222,0,0,2,unclear from transcript,0.035652510191150025,121,0.2,0.07493212591823142,127,0.007874015748031496,0.0,0.0,101,0.15265067479040756,0.8185144887666342
0427_Aegis Shield,Aegis Shield,Unknown,UNKNOWN,0.119,0,0,2,unclear from transcript,0.035712731820587956,121,0.2,0.07505869582020606,127,0.007874015748031496,0.0,0.0,101,0.09818412078698992,0.8181512783620479
1004_QVAC DollarSafe,QVAC DollarSafe,Unknown,UNKNOWN,0.514,0,0,2,unclear from transcript,0.03601562617593652,121,0.2,0.07569529946615451,127,0.007874015748031496,0.0,0.0,101,0.3073905541259917,0.816329330318251
0804_Adhyaan - Study & Learn,Adhyaan - Study & Learn,Unknown,UNKNOWN,0.0,0,0,2,unclear from transcript,0.036170595345052084,121,0.2,0.07602100358155488,127,0.007874015748031496,0.0,0.0,101,0.03549665246659624,0.8154003053865206
1010_Cuvée,Cuvée,Unknown,UNKNOWN,0.392,0,0,2,unclear from transcript,0.03660405089730653,121,0.2,0.07693201225520359,127,0.007874015748031496,0.0,0.0,101,0.24319626696378835,0.8128129751619912
2060_ELF Break the Machine,ELF Break the Machine,Unknown,UNKNOWN,0.0,0,0,2,unclear from transcript,0.036753694380086174,121,0.2,0.07724652318961937,127,0.007874015748031496,0.0,0.0,101,0.03585692986783815,0.8119235500901271
1355_Petak - Idle Property,Petak - Idle Property,Unknown,UNKNOWN,0.0,0,0,2,unclear from transcript,0.03749383502131425,121,0.2,0.07880210262647681,127,0.007874015748031496,0.0,0.0,101,0.03631423802777978,0.8075528987303862
2560_Glass Box Protocol,Glass Box Protocol,Unknown,UNKNOWN,0.0,0,0,2,unclear from transcript,0.037591847104400986,121,0.2,0.07900809804480745,127,0.007874015748031496,0.0,0.0,101,0.036374796417458354,0.8069776470459805
2726_AVLB AI,AVLB AI,Unknown,UNKNOWN,0.396,0,0,2,unclear from transcript,0.03803352707191902,121,0.2,0.07993639225927307,127,0.007874015748031496,0.0,0.0,101,0.24619614349367708,0.8043954782896222
2651_UltraCore Rift (SIRM Master-Build),UltraCore Rift (SIRM Master-Build),Unknown,UNKNOWN,0.253,0,0,2,unclear from transcript,0.03856280228532388,121,0.2,0.08104878846149327,127,0.007874015748031496,0.0,0.0,101,0.17085289214202495,0.8013228889553147
1748_Sperm Race Club,Sperm Race Club,Unknown,UNKNOWN,0.214,0,0,2,unclear,0.03893658372282747,121,0.2,0.08183437796390841,127,0.007874015748031496,0.0,0.0,101,0.15044649206630034,0.7991670879897765
2657_DeepTalk (唠儿 - Laoer),DeepTalk (唠儿 - Laoer),Unknown,UNKNOWN,0.709,0,0,2,,0.03979143048327758,121,0.2,0.08363103925792133,127,0.007874015748031496,0.0,0.0,101,0.4129102330393756,0.7942800545438449
2073_UMT Floppy Dude,UMT Floppy Dude,Unknown,UNKNOWN,0.75,0,0,2,unclear from transcript,0.04098545446718125,121,0.2,0.08614056116904519,127,0.007874015748031496,0.0,0.0,101,0.4353436531684689,0.7875531943961377
2678_Skill Loops Protocol,Skill Loops Protocol,Unknown,UNKNOWN,0.226,0,0,2,unclear from transcript,0.04114685203355062,121,0.2,0.08647977607148108,127,0.007874015748031496,0.0,0.0,101,0.15816209593141461,0.7866526488499164
1831_X402 Charity,X402 Charity,Unknown,UNKNOWN,0.0,0,0,2,unclear from transcript,0.041645179671588886,121,0.2,0.08752712867363495,127,0.007874015748031496,0.0,0.0,101,0.038879215111257595,0.7838850943354118
1406_Compute Network,Compute Network,Unknown,UNKNOWN,0.0,0,0,2,,0.04179987183378334,121,0.2,0.0878522505939141,127,0.007874015748031496,0.0,0.0,101,0.03897479422704991,0.7830299392595533
0649_BeSteamHN AI Tutor,BeSteamHN AI Tutor,Unknown,UNKNOWN,0.093,0,0,2,unclear from transcript,0.0421429866164319,121,0.2,0.0885733869167139,127,0.007874015748031496,0.0,0.0,101,0.08839892884687582,0.7811398062757758
2176_MARKET WHISPERER,MARKET WHISPERER,Unknown,UNKNOWN,0.0,0,0,2,unclear from transcript,0.042510534707269995,121,0.2,0.08934587557672759,127,0.007874015748031496,0.0,0.0,101,0.03941388905972086,0.7791251731466249
2796_Shadow Pay,Shadow Pay,Unknown,UNKNOWN,0.776,0,0,2,unclear from transcript,0.04276247154760476,121,0.2,0.08987538003355801,127,0.007874015748031496,0.0,0.0,101,0.4501998440387984,0.7777502296322686
0099_Ekza Space Protocol,Ekza Space Protocol,Unknown,UNKNOWN,0.541,0,0,2,unclear from transcript,0.04310952510677404,121,0.2,0.09060479462054262,127,0.007874015748031496,0.0,0.0,101,0.32606103129978875,0.7758641148880737
2470_WEZA Build,WEZA Build,Unknown,UNKNOWN,0.0,0,0,2,unclear from transcript,0.043602260276209934,121,0.2,0.0916403933361045,127,0.007874015748031496,0.0,0.0,101,0.040088429793310024,0.7732019316092503
2596_Jup Alpha-Trigger,Jup Alpha-Trigger,Unknown,UNKNOWN,0.429,0,0,2,unclear from transcript,0.04366365443316701,121,0.2,0.09176942758011948,127,0.007874015748031496,0.0,0.0,101,0.2671371816289212,0.7728715064858183
0579_Solana AI Credit Vault,Solana AI Credit Vault,Unknown,UNKNOWN,0.386,0,0,2,,0.04387961040296838,121,0.2,0.0922233097846316,127,0.007874015748031496,0.0,0.0,101,0.2445166154849043,0.771711465704171
1674_Degen Banx,Degen Banx,Unknown,UNKNOWN,0.0,0,0,2,unclear from transcript,0.0447246256564046,121,0.2,0.09399930785696443,127,0.007874015748031496,0.0,0.0,101,0.040781901842010616,0.7672056122130048
1257_Stream Escrow,Stream Escrow,Unknown,UNKNOWN,0.67,0,0,2,unclear from transcript,0.04542969211632658,121,0.2,0.09548117066192087,127,0.007874015748031496,0.0,0.0,101,0.3957565792893755,0.7634860764210796
2594_Agent Meridian,Agent Meridian,Unknown,UNKNOWN,0.696,0,0,2,unclear from transcript,0.04573489498268267,121,0.2,0.09612262618608411,127,0.007874015748031496,0.0,0.0,101,0.4097033853583322,0.7618871584750767
2246_Plaus Protocol,Plaus Protocol,Unknown,UNKNOWN,0.0,0,0,2,unclear from transcript,0.046716470566311896,121,0.2,0.0981856378740809,127,0.007874015748031496,0.0,0.0,101,0.04201259622615821,0.7567899132281514
2780_LaamTag Hub,LaamTag Hub,Unknown,UNKNOWN,0.435,0,0,2,unclear from transcript,0.04699274338022651,121,0.2,0.09876629009657636,127,0.007874015748031496,0.0,0.0,101,0.27236909088234806,0.7553675268296004
2631_UAI System,UAI System,Unknown,UNKNOWN,0.0,0,0,2,unclear from transcript,0.04777121884597059,121,0.2,0.10040243917305483,127,0.007874015748031496,0.0,0.0,101,0.04266428992881988,0.7513881654096368
0147_Ocean Sense,Ocean Sense,Unknown,UNKNOWN,0.001,0,0,2,unclear from transcript,0.048005415523320175,121,0.2,0.10089465850972153,127,0.007874015748031496,0.0,0.0,101,0.04333815497370073,0.7501992047819697
2261_EDGESurvive,EDGESurvive,Unknown,UNKNOWN,0.0,0,0,2,unclear from transcript,0.04927407734308006,121,0.2,0.10356104936736997,127,0.007874015748031496,0.0,0.0,101,0.0435928559549003,0.7438233550345708
2687_Privacy Cloak,Privacy Cloak,Unknown,UNKNOWN,0.499,0,0,2,unclear from transcript,0.05047153782084336,121,0.2,0.10607779387766643,127,0.007874015748031496,0.0,0.0,101,0.30838493747838813,0.737903969328872
2634_SolanaAudit AI,SolanaAudit AI,Unknown,UNKNOWN,0.885,0,0,-1,unclear from transcript,0.1637221180319731,212,0.4,0.34410049385573516,127,0.007874015748031496,0.0,0.0,728,0.5943746775942361,0.7376632396380409
2215_TrustChain Lite,TrustChain Lite,Unknown,UNKNOWN,0.619,0,0,2,unclear from transcript,0.050817263756878416,121,0.2,0.10680441815273943,127,0.007874015748031496,0.0,0.0,101,0.37209807961005353,0.736212435255482
1209_ResolvRapido - Forensic RWA Infrastructure,ResolvRapido - Forensic RWA Infrastructure,Unknown,UNKNOWN,0.648,0,0,2,,0.05218760712713936,121,0.2,0.10968451667654815,127,0.007874015748031496,0.0,0.0,101,0.38829048863045823,0.7295833552088185
2297_Obscura Match,Obscura Match,Unknown,UNKNOWN,0.16,0,0,2,unclear from transcript,0.05104319081703822,119,0.2,0.10727925694612213,127,0.007874015748031496,0.0,0.0,101,0.12935197154131614,0.7229606262370526
1754_Rebel BJJ,Rebel BJJ,Unknown,UNKNOWN,0.0,0,0,2,unclear from transcript,0.05384013564913422,121,0.2,0.11315769358974978,127,0.007874015748031496,0.0,0.0,101,0.0464140707427589,0.7217462761620015
1576_WhoDis Privacy First Identity Verification,WhoDis Privacy First Identity Verification,Unknown,UNKNOWN,0.704,0,0,2,unclear from transcript,0.05526055762410771,121,0.2,0.11614304406619833,127,0.007874015748031496,0.0,0.0,101,0.41982227584519544,0.7151432838328241
1942_Savings Ladder,Savings Ladder,Unknown,UNKNOWN,0.0,0,0,2,unclear from transcript,0.05801775813758743,121,0.2,0.1219379486872244,127,0.007874015748031496,0.0,0.0,101,0.04899528402400144,0.7026649810608117
2789_Alpha Husky,Alpha Husky,Unknown,UNKNOWN,0.139,0,0,2,unclear from transcript,0.059023407428464236,121,0.2,0.12405155692657542,127,0.007874015748031496,0.0,0.0,101,0.1231702629278558,0.6982213928409728
1191_The Redacted Protocol,The Redacted Protocol,Unknown,UNKNOWN,0.396,0,0,2,unclear from transcript,0.059642897129442464,121,0.2,0.12535356006828607,127,0.007874015748031496,0.0,0.0,101,0.25954785086932763,0.6955119646757039
1833_Palm Backed,Palm Backed,Unknown,UNKNOWN,0.001,0,0,2,unclear from transcript,0.05818411712927475,119,0.2,0.12228759119054072,127,0.007874015748031496,0.0,0.0,101,0.0496272344306678,0.6903239200221797
1646_Solana Decentralized Exchange,Solana Decentralized Exchange,Unknown,UNKNOWN,0.523,0,0,2,unclear from transcript,0.06221445197899449,121,0.2,0.1307582867133149,127,0.007874015748031496,0.0,0.0,101,0.3283403975076827,0.6844861458052937
0491_Future You,Future You,Unknown,UNKNOWN,0.0,0,0,2,Unclear from transcript; the transcript consists solely of motivational speech and does not describe a built system or product.,0.06355933258270674,121,0.2,0.13358486925132002,127,0.007874015748031496,0.0,0.0,101,0.052419237623512145,0.6788578999175953
2788_DEFI Transactions,DEFI Transactions,Unknown,UNKNOWN,0.457,0,0,2,,0.06407650084679625,121,0.2,0.13467181985529986,127,0.007874015748031496,0.0,0.0,101,0.2945661539581722,0.6767181434024826
2484_MineBench 2.0,MineBench 2.0,Unknown,UNKNOWN,0.25,0,0,2,unclear from transcript,0.06485793260751176,121,0.2,0.13631418228017547,127,0.007874015748031496,0.0,0.0,101,0.18551228590339675,0.6735104782210557
0023_Quorum,Quorum,Unknown,AI_TRADING_COPILOT,0.15,0,2,56,"A system with a swarm of AI agents (chart, liquidity, momentum, RSI, risk, through, and coordinators agents) that collect market data, vote, and provide market signals and trading decisions. An online interface with eight live interfaces is available where users can ask questions, view agent signals, identify trends, and see specific token charts with market analysis.",0.069590737833258,263,0.2,0.14626128432770852,60,0.016666666666666666,0.0,0.0,40,0.1370711677821344,0.6723106391932694
2672_FacetLogic,FacetLogic,Unknown,AI_TRADING_COPILOT,0.13,0,0,56,"An AI trading strategy builder that allows users to create and modify trading strategies for crypto, stocks, and commodities using natural language. This system is presented as a B2B financial management layer.",0.06630727179670544,250,0.4,0.13936030907575372,60,0.016666666666666666,0.0,0.0,40,0.13621834109705835,0.6516961188616357
1739_IntelliChain IP,IntelliChain IP,Unknown,UNKNOWN,0.185,0,0,2,unclear from transcript,0.07358592204645711,123,0.2,0.15465810252998696,127,0.007874015748031496,0.0,0.0,101,0.1565094402571748,0.6502186865470794
2582_Thinkout.ai,Thinkout.ai,Unknown,AI_TRADING_COPILOT,0.047,0,1,56,"A system that takes a user-initiated swap, uses AI to analyze market conditions, decides on an action (execute, skip, adjust slippage), finds the best route via Jupiter, and allows the user to approve the trade in Phantom for execution.",0.07108344191861463,256,0.4,0.1493985526401755,60,0.016666666666666666,0.0,0.0,40,0.09524886895583709,0.6487066522008393
2824_Whistle AI,Whistle AI,Unknown,UNKNOWN,0.176,0,0,2,unclear from transcript,0.07319151655605567,120,0.2,0.15382916673525185,127,0.007874015748031496,0.0,0.0,101,0.15150328556681286,0.6358043085201217
0797_PyRon-AI,PyRon-AI,Unknown,AI_TRADING_COPILOT,0.536,0,0,48,"The project has built a landing page with a 'Launch Portfolio' button, a vault creation process integrated with Squads, a display for portfolio allocations, a 'Seek Alpha' feature for AI-driven portfolio construction, a function to generate slides from YouTube links or text ideas, an auto-trading feature using TradingView webhooks, and a portfolio sharing mechanism with a QR code for a mobile web app.",0.08848592294314994,275,0.2,0.1859739548328605,60,0.016666666666666666,0.0,0.0,77,0.3530026913313912,0.6325139939558063
1851_Operator Uplift,Operator Uplift,Unknown,UNKNOWN,0.35,0,0,2,"unclear from transcript, no project details provided.",0.07785207226355881,122,0.2,0.16362441944680553,127,0.007874015748031496,0.0,0.0,101,0.24645720510807392,0.6294623178000709
1244_GreenChain,GreenChain,Unknown,UNKNOWN,0.607,0,0,2,"unclear from transcript and provided data, as the description is aspirational.",0.07992123203176246,122,0.2,0.16797324480201042,127,0.007874015748031496,0.0,0.0,101,0.38373049572284484,0.6222232716414597
2747_Whale Reconciliation Engine,Whale Reconciliation Engine,Unknown,UNKNOWN,0.159,0,0,2,unclear from transcript,0.0834505492955907,124,0.2,0.17539093416527474,127,0.007874015748031496,0.0,0.0,101,0.14884623224779328,0.6202567573472596
2835_SolEstate,SolEstate,Unknown,UNKNOWN,0.607,0,0,2,unclear from transcript,0.08365419514806735,124,0.2,0.1758189437662451,127,0.007874015748031496,0.0,0.0,101,0.38603696884262223,0.6195689826084219
2639_SentinelPay ai,SentinelPay ai,Unknown,UNKNOWN,0.644,0,0,2,unclear from transcript,0.08190532267863239,121,0.2,0.172143277413665,127,0.007874015748031496,0.0,0.0,101,0.40453542064395687,0.610391952220002
2482_BlackVault Trading,BlackVault Trading,Unknown,UNKNOWN,0.289,0,0,2,unclear from transcript,0.08821136492738,125,0.2,0.18539690666151915,127,0.007874015748031496,0.0,0.0,101,0.22057893817919152,0.6094428755004249
2622_Ghostrades,Ghostrades,Unknown,AI_TRADING_COPILOT,0.066,0,0,56,An AI agent that allows users to interact via natural language commands for trading. The system is described as integrating with Vanish API for private trades and Akion MPC for encrypted strategy storage.,0.0743420585736262,245,0.4,0.15624730107902132,60,0.016666666666666666,0.0,0.0,40,0.10731635144609045,0.609228595589614
2458_“女书”“婚姻”即议定协议链上合约工具,“女书”“婚姻”即议定协议链上合约工具,Unknown,UNKNOWN,0.435,0,0,2,unclear from transcript,0.0845227358356194,122,0.2,0.1776443860651414,127,0.007874015748031496,0.0,0.0,101,0.2955576186247531,0.6067066864448414
2843_AgroShare,AgroShare,Unknown,UNKNOWN,0.279,0,0,3,,0.06788650090918116,111,0.2,0.14267943005981115,127,0.007874015748031496,0.0,0.0,108,0.20272925667586728,0.606702852474504
1933_Insure Pulse,Insure Pulse,Unknown,UNKNOWN,0.237,0,0,2,unclear from transcript,0.08658134999181777,121,0.2,0.181971047339264,127,0.007874015748031496,0.0,0.0,101,0.19205534359950696,0.5950945527722306
0670_Pigxel Design - Mobbin for Web3,Pigxel Design - Mobbin for Web3,Unknown,UNKNOWN,0.302,0,0,2,unclear from transcript,0.08983621959393229,122,0.2,0.18881192046616127,127,0.007874015748031496,0.0,0.0,101,0.2284619972703963,0.5897250686514603
1022_Valgrid,Valgrid,Unknown,AI_TRADING_COPILOT,0.0,0,0,55,"A system that allows users to create, backtest, and deploy trading bots. This system integrates an AI quant analyst named Spike for chart analysis and real-time feedback, and an AI agent capable of running, editing, pausing, or stopping strategies based on Spike's advice.",0.05977594549542174,215,0.4,0.12563319246609825,60,0.016666666666666666,0.0,0.0,14,0.06339169580964787,0.5833691096603633
0142_Skill Chain,Skill Chain,Unknown,UNKNOWN,0.288,0,0,2,unclear from transcript,0.09084341102654256,121,0.2,0.1909287698786565,127,0.007874015748031496,0.0,0.0,101,0.22167602872985515,0.5818044460208125
0136_Vade Finance,Vade Finance,Unknown,UNKNOWN,0.37,0,0,2,A hackathon prototype.,0.09894149121126414,125,0.2,0.2079487878477733,127,0.007874015748031496,0.0,0.0,101,0.27007090701334435,0.5765719093831126
2406_NeonPulse Terminal,NeonPulse Terminal,Unknown,UNKNOWN,0.649,0,0,2,unclear from transcript,0.08640629755033044,117,0.2,0.18160313350886342,127,0.007874015748031496,0.0,0.0,101,0.4099622362881239,0.5759623790920952
2497_Policy-Bounded Autonomous Treasury Guardian,Policy-Bounded Autonomous Treasury Guardian,Unknown,UNKNOWN,0.474,0,0,2,unclear from transcript,0.09309443046629581,121,0.2,0.19565981605744276,127,0.007874015748031496,0.0,0.0,101,0.32149112932333646,0.575021997065837
1751_Cryptelix,Cryptelix,Unknown,AI_TRADING_COPILOT,0.0,0,0,55,An AI-powered environment with a fully customizable interface and an integrated AI system for automated post-trade analysis. The team is preparing for a public launch and beta testing.,0.05808282641022755,209,0.4,0.12207470494849774,60,0.016666666666666666,0.0,0.0,14,0.062345574126439825,0.573162751708643
0084_Loop Treasury,Loop Treasury,Unknown,AI_TRADING_COPILOT,0.155,0,1,56,"Based on the evidence, the project is currently an idea. The speaker explicitly states, 'The wallet has been in the idea.' There is no visual or explicit textual evidence of a working system or prototype.",0.07815763371141178,234,0.4,0.16426662861422509,60,0.016666666666666666,0.0,0.0,40,0.15676935225018374,0.5694135357922963
0848_Tropico Wallet,Tropico Wallet,Unknown,UNKNOWN,0.776,0,0,2,unclear from transcript,0.10147123525533334,125,0.2,0.21326563926257616,127,0.007874015748031496,0.0,0.0,101,0.48647402654968097,0.5693322686875512
0064_x9-protocol,x9-protocol,Unknown,AI_TRADING_COPILOT,0.0,0,2,56,"An autonomous AI agent system that runs trading loops, integrates Claude for reasoning, Jupiter for swaps, Vanish for trade shielding, Swig for spend limits, and GoldRush for on-chain state verification. It includes an on-chain policy enforcement layer and provides agents with permanent on-chain identities through Metaplex Core, Bonafide SNS, and e-kind PC key management. The system has eleven live integrations, uses real wallets, and operates on mainnet.",0.08054695789102241,236,0.6,0.16928835469539458,60,0.016666666666666666,0.0,0.0,40,0.08798458216586152,0.5666804013962189
0012_Oath - The Commitment Market,Oath - The Commitment Market,Unknown,UNKNOWN,0.035,0,0,2,unclear from transcript,0.09794353436229179,121,0.2,0.20585134708224986,127,0.007874015748031496,0.0,0.0,101,0.09218478261143838,0.5609354475089724
1099_zap,zap,Unknown,AI_TRADING_COPILOT,0.0,0,1,55,"The project has core infrastructure ready to hold value and transact, a mobile application, and integrations with commonly used DEXes and chains. It uses X402 for infrastructure communications.",0.06545263231111191,214,0.4,0.13756408341854645,60,0.016666666666666666,0.0,0.0,14,0.06689913082624248,0.5607334410980088
2734_0T—skillos,0T—skillos,Unknown,AI_TRADING_COPILOT,0.0,0,0,55,"A system that can pull a repository, run a local AI agent terminal, call a specific skill command, target a BSC chain address, retrieve historical transaction data via the AVE asset tracking interface, pre-process this data to extract trading features, reconstruct decision-making, trace market context, and utilize a large model reflection chain for iterative optimization to produce a structured AI skill. It also includes a built-in front end for user interaction.",0.05983433586735241,206,0.4,0.12575591355020882,60,0.016666666666666666,0.0,0.0,14,0.06342777326852328,0.5587448132199915
2052_HireMind AI,HireMind AI,Unknown,UNKNOWN,0.68,0,0,2,unclear from transcript,0.10585675797929835,125,0.2,0.22248284554644066,127,0.007874015748031496,0.0,0.0,101,0.4383840707300269,0.5572033513455862
2040_SWAT  (Security Web3 Anticipation & Threat Intelligence),SWAT  (Security Web3 Anticipation & Threat Intelligence),Unknown,UNKNOWN,0.119,0,0,2,unclear from transcript,0.10604840102058477,125,0.2,0.22288562841990553,127,0.007874015748031496,0.0,0.0,101,0.1416421795239665,0.5566851034759694
