Country,Projects,Frontier_Index,Originality_Density,SpecUtil_Ratio,NDS,HHI,Infra_Dependency,AI_Saturation,Top_Archetype
Hong Kong,33,0.8181818181818182,0.09090909090909091,1.38034188034188,0.3333333333333333,449.95408631772267,0.5151515151515151,0.6060606060606061,AI_AGENT_MARKETPLACE
Thailand,33,1.0,0.2727272727272727,2.0804597701149423,0.030303030303030304,303.030303030303,0.6060606060606061,0.36363636363636365,AI_AGENT_COMPETITION_PLATFORM
Netherlands,33,0.9393939393939394,0.24242424242424243,1.3253968253968251,0.15151515151515152,339.7612488521579,0.6060606060606061,0.5151515151515151,ONCHAIN_PREDICTION_MARKET
France,32,0.96875,0.3125,1.5775193798449612,0.125,332.03125,0.875,0.40625,AI_TRADING_COPILOT
Serbia,32,1.0,0.25,2.06930693069307,0.0625,312.5,0.59375,0.375,SYBIL_PROTECTION_SERVICE
Korea South,31,0.967741935483871,0.16129032258064516,1.4017857142857144,0.1935483870967742,343.39229968782513,0.8387096774193549,0.5161290322580645,ONCHAIN_PREDICTION_MARKET
Singapore,28,1.0,0.42857142857142855,1.1102040816326528,0.14285714285714285,357.1428571428571,0.5714285714285714,0.5357142857142857,PREDICTION_MARKET_ARBITRAGE_VAULT
Kenya,14,0.8571428571428571,0.14285714285714285,4.333333333333333,0.21428571428571427,1020.408163265306,0.6428571428571429,0.35714285714285715,UNKNOWN
Argentina,14,1.0,0.21428571428571427,2.8208955223880596,0.07142857142857142,714.2857142857142,0.9285714285714286,0.5714285714285714,AI_HEALTH_MONITORING_SYSTEM
Vietnam,12,0.9166666666666666,0.16666666666666666,1.3142857142857143,0.16666666666666666,972.222222222222,0.8333333333333334,0.75,ONCHAIN_PREDICTION_MARKET
Venezuela,12,1.0,0.25,3.6410256410256405,0.25,833.3333333333331,0.5833333333333334,0.4166666666666667,AI_USAGE_CHECKOUT_SYSTEM
Mexico,12,0.9166666666666666,0.08333333333333333,1.2272727272727275,0.16666666666666666,972.222222222222,0.75,0.3333333333333333,ONCHAIN_PREDICTION_MARKET
Romania,10,1.0,0.2,0.8870967741935485,0.0,1000.0,0.5,0.4,GOVERNANCE_SECURITY_MONITOR
Costa Rica,9,1.0,0.2222222222222222,1.6071428571428572,0.0,1111.111111111111,0.4444444444444444,0.3333333333333333,RWA_CAPITAL_ROUTING_PLATFORM
Portugal,9,0.8888888888888888,0.1111111111111111,0.3061224489795918,0.4444444444444444,1358.0246913580247,0.6666666666666666,0.4444444444444444,ONCHAIN_PREDICTION_MARKET
Czech Republic,8,1.0,0.25,1.2926829268292686,0.125,1250.0,0.25,0.25,AI_AGENT_COMPANION
Colombia,8,1.0,0.25,1.2413793103448276,0.125,1250.0,0.75,0.375,TRANSACTION_SECURITY_LAYER
Taiwan,7,1.0,0.2857142857142857,3.818181818181817,0.0,1428.5714285714284,0.5714285714285714,0.5714285714285714,PATIENT_HEALTH_RECORD_MANAGER
South Africa,7,1.0,0.0,2.0476190476190474,0.0,1428.5714285714284,0.8571428571428571,0.42857142857142855,AI_SKILL_MARKETPLACE
Northern Ireland,6,1.0,0.16666666666666666,1.8888888888888886,0.16666666666666666,1666.6666666666663,0.8333333333333334,0.16666666666666666,CODE_AUDIT_AND_REMEDIATION_ENGINE
Italy,6,0.8333333333333334,0.3333333333333333,10.285714285714286,0.3333333333333333,2222.2222222222217,0.3333333333333333,0.0,UNKNOWN
Cyprus,6,1.0,0.5,1.0892857142857144,0.16666666666666666,1666.6666666666663,0.5,0.5,COMPETITIVE_ECONOMY_SIMULATION_GAME
Ghana,6,1.0,0.3333333333333333,3.2857142857142856,0.0,1666.6666666666663,1.0,0.6666666666666666,AI_AGENT_TREASURY_MANAGEMENT
Switzerland,6,1.0,0.3333333333333333,3.5833333333333335,0.0,1666.6666666666663,0.3333333333333333,0.5,BOUNTY_MARKETPLACE
Croatia,5,1.0,0.4,0.625,0.0,2000.0,1.0,0.4,AI_ASSISTED_FOUNDER_TOOLKIT
Hungary,5,1.0,0.0,1.526315789473684,0.0,2000.0,0.6,0.2,ONCHAIN_MERCH_INFRASTRUCTURE
Sweden,5,1.0,0.2,1.2000000000000002,0.0,2000.0,0.4,0.2,ONCHAIN_POLICY_ENFORCEMENT
