archetype,Projects,Countries,Mean_Outlier,Mean_Cluster_Size
DEFI_POSITION_MANAGER,2,2,0.279,77.0
AI_MODEL_MARKETPLACE,2,2,0.794,9.0
DEVELOPER_TOOLKIT,2,2,0.843,13.5
AI_AGENT_NETWORK,2,2,0.375,29.0
AI_APP_GENERATOR,2,2,0.042,23.0
DECENTRALIZED_SOCIAL_NETWORK,2,1,0.07,35.0
AI_AGENT_OBSERVABILITY_PLATFORM,2,2,0.757,0.0
AI_AGENT_MEMORY_LAYER,2,2,0.387,11.5
AI_FINANCIAL_ADVISOR,2,2,0.823,0.0
GAMIFIED_ENGAGEMENT_PLATFORM,2,2,0.5315,92.0
GAMIFIED_LOYALTY_PLATFORM,2,2,0.0,17.0
GAMIFIED_TRADING_PLATFORM,2,2,0.586,167.0
GROUP_SAVINGS_PROTOCOL,2,2,0.0,12.0
IDENTITY_VERIFICATION_PROTOCOL,2,2,0.1675,22.5
INVOICE_FINANCING_PLATFORM,2,2,0.937,0.0
LENDING_PROTOCOL,2,2,0.1085,58.0
LEVERAGE_TRADING_PLATFORM,2,2,0.6305000000000001,12.0
LIQUID_STAKING_PROTOCOL,2,2,0.0,10.0
MEV_PROTECTION_TOOL,2,2,0.87,0.0
MILESTONE_BASED_FUNDING_PLATFORM,2,2,0.151,16.0
MOBILE_PAYMENT_APP,2,2,0.48050000000000004,9.0
MOBILE_PAYMENT_WALLET,2,2,0.82,0.0
NATURAL_LANGUAGE_DEFI_INTERFACE,2,2,0.059,15.0
AI_FINANCIAL_ASSISTANT,2,2,0.0,11.0
ONCHAIN_AUTOMATION_ENGINE,2,2,0.852,0.0
ONCHAIN_CROWDFUNDING_PLATFORM,2,2,0.0,16.0
COLLECTIBLE_CARD_GAME,2,2,0.262,167.0
AI_AGENT_PAYMENT_ORCHESTRATOR,2,2,0.2245,52.0
ONCHAIN_INSURANCE_PROTOCOL,2,2,0.0,11.0
DARK_POOL_EXCHANGE,2,2,0.6964999999999999,17.0
AI_AGENT_PAYMENT_PROTOCOL,2,2,0.902,0.0
AI_AGENT_PAYMENT_RAIL,2,2,0.2695,52.0
ONCHAIN_REPUTATION_SYSTEM,2,2,0.368,10.5
ONCHAIN_TALENT_MARKETPLACE,2,2,0.0,46.5
ONCHAIN_THREAT_DETECTION_AND_RESPONSE,2,2,0.199,58.0
ONCHAIN_TREASURY_MANAGEMENT_SYSTEM,2,2,0.874,0.0
DECENTRALIZED_ENVIRONMENTAL_DATA_NETWORK,2,2,0.712,108.0
P2P_CRYPTO_FIAT_EXCHANGE,2,2,0.0,10.0
P2P_LENDING_PLATFORM,2,1,0.813,29.0
PAYMENT_GATEWAY,2,1,0.2575,57.5
PAYMENT_GATEWAY_AGGREGATOR,2,2,0.039,12.0
AI_GAME_GENERATOR,2,2,0.0745,27.0
PERPETUAL_FUTURES_EXCHANGE,2,2,0.0,24.0
AI_SECURITY_AGENT,2,2,0.317,58.0
PREDICTION_MARKET_AGGREGATOR,2,2,0.0,139.0
PREDICTION_MARKET_TRADING_TERMINAL,2,2,0.3195,139.0
AI_AGENT_PLATFORM,2,2,0.7525,26.0
PRIVATE_PAYMENT_PROTOCOL,2,2,0.077,103.0
PRIVATE_PAYROLL_SYSTEM,2,2,0.0,103.0
DECENTRALIZED_ASSET_MANAGEMENT_PROTOCOL,2,2,0.79,0.0
PRIZE_LINKED_SAVINGS_PROTOCOL,2,2,0.105,12.0
DATA_CLASSIFICATION_ENGINE,2,2,0.7655000000000001,0.0
PROFESSIONAL_NETWORKING_PLATFORM,2,2,0.7949999999999999,17.5
PROGRAMMABLE_ESCROW_PROTOCOL,2,2,0.6435,80.0
PROGRAMMABLE_PAYMENT_PROTOCOL,2,1,0.784,0.0
PROOF_OF_PERSONHOOD_PROTOCOL,2,1,0.0175,35.0
PROXIMITY_PAYMENT_PROTOCOL,2,1,0.002,18.0
CROSS_BORDER_PAYMENTS_PLATFORM,2,2,0.0,24.0
REMITTANCE_PLATFORM,2,2,0.1645,24.0
RWA_FINANCING_PLATFORM,2,2,0.303,108.0
RWA_INVESTMENT_PLATFORM,2,1,0.487,108.0
RWA_LENDING_PROTOCOL,2,2,0.27249999999999996,83.0
DEFI_STRATEGY_MANAGER,2,2,0.095,77.0
RWA_YIELD_AGGREGATOR,2,1,0.5435,77.0
SECURE_WALLET,2,2,0.518,37.0
SMART_CONTRACT_COMPILER,2,2,0.0,27.0
SMART_CONTRACT_SECURITY_SCANNER,2,2,0.339,56.0
SOCIAL_PREDICTION_MARKET_PLATFORM,2,2,0.2865,139.0
DECENTRALIZED_LAUNCHPAD,2,2,0.0,37.0
AI_AGENT_PREDICTION_MARKET,2,2,0.4195,139.0
SOLANA_TRANSACTION_DEBUGGER,2,2,0.0,67.0
STABLECOIN_PAYMENT_GATEWAY,2,2,0.7424999999999999,0.0
STABLECOIN_PAYMENT_NETWORK,2,2,0.2205,23.5
STRUCTURED_CREDIT_PROTOCOL,2,2,0.415,58.0
SYNTHETIC_ASSET_PROTOCOL,2,2,0.1045,43.5
TELEGRAM_TRADING_BOT,2,2,0.802,0.0
TOKENIZED_ASSET_INVESTMENT_PLATFORM,2,2,0.6665000000000001,108.0
TOKENIZED_ASSET_MARKETPLACE,2,2,0.16,74.5
AI_AUTOMATION_AGENT,2,2,0.4215,11.0
TOKEN_SECURITY_SCANNER,2,2,0.2415,54.0
TRANSACTION_FIREWALL,2,2,0.671,56.0
BUG_BOUNTY_PLATFORM,2,2,0.742,29.0
ESCROW_PLATFORM,2,1,0.2955,80.0
WALLET_ANALYTICS_TOOL,2,2,0.044,67.0
WALLET_SECURITY_LAYER,2,2,0.545,13.5
AI_HEALTH_MONITORING_SYSTEM,2,2,0.4595,28.0
AI_SKILL_MARKETPLACE,2,2,0.027,13.0
AGENT_COMMUNICATION_PROTOCOL,2,1,0.562,26.0
AI_AGENT_GAME,1,1,0.0,13.0
AI_AGENT_GOVERNANCE,1,1,0.5,0.0
AI_AGENT_GOVERNANCE_PLATFORM,1,1,0.538,0.0
AI_AGENT_GROWTH_PLATFORM,1,1,0.857,0.0
AI_AGENT_HOSTING_PLATFORM,1,1,0.104,22.0
AI_AGENT_HOTEL_BOOKING_PLATFORM,1,1,0.485,52.0
AI_AGENT_IDENTITY_AND_AUDIT,1,1,0.638,0.0
AI_AGENT_IDENTITY_AND_AUTHORIZATION,1,1,0.588,0.0
AI_AGENT_IDENTITY_BINDING,1,1,0.034,16.0
AI_AGENT_IDENTITY_MANAGER,1,1,0.653,0.0
AI_AGENT_KNOWLEDGE_MARKETPLACE,1,1,0.737,0.0
AI_AGENT_LAUNCHPAD,1,1,0.069,27.0
AI_AGENT_LAUNCHPAD_MARKETPLACE,1,1,0.868,0.0
AI_AGENT_LIVESTREAMING_PLATFORM,1,1,0.0,13.0
AI_AGENT_MEMORY_VERIFICATION,1,1,0.074,23.0
AI_AGENT_MICROPAYMENT_GATEWAY,1,1,0.0,52.0
AI_AGENT_MONETIZATION_PLATFORM,1,1,0.52,52.0
AI_AGENT_NETWORK_PROTOCOL,1,1,0.232,19.0
AI_AGENT_OTC_SETTLEMENT_PLATFORM,1,1,0.85,0.0
AI_AGENT_P2P_RENTAL_MARKETPLACE,1,1,0.049,27.0
AI_AGENT_PAYMENT_APPROVAL,1,1,0.71,0.0
AI_AGENT_PAYMENT_LAYER,1,1,0.083,52.0
AI_AGENT_PAYMENT_NETWORK,1,1,0.657,52.0
AI_AGENT_PAYMENT_OS,1,1,0.71,0.0
AI_AGENT_PAYMENT_PLATFORM,1,1,0.436,52.0
AI_AGENT_PAYMENT_ROUTER,1,1,0.0,52.0
AI_AGENT_PAYMENT_SDK,1,1,0.0,52.0
AI_AGENT_PAYMENT_SECURITY_GATE,1,1,0.515,0.0
AI_AGENT_PAYMENT_SETTLEMENT,1,1,0.612,0.0
AI_AGENT_PERMISSION_MANAGER,1,1,0.546,0.0
AI_AGENT_POLICY_ENFORCED_WALLET,1,1,0.0,27.0
AI_AGENT_POLICY_ENFORCEMENT_LAYER,1,1,0.7,0.0
AI_AGENT_POLICY_ENFORCEMENT_WALLET,1,1,0.0,27.0
AI_AGENT_POLICY_GUARD,1,1,0.48,0.0
AI_AGENT_POLICY_WALLETS,1,1,0.2,27.0
AI_AGENT_PREDICTION_GAME,1,1,0.0,13.0
AI_AGENT_PRIVATE_PAYMENT_PROTOCOL,1,1,0.663,103.0
AI_AGENT_PROBLEM_MARKETPLACE,1,1,0.0,27.0
AI_AGENT_PRODUCTIVITY_WORKSPACE,1,1,0.232,19.0
AI_AGENT_PROTOCOL,1,1,0.841,0.0
AI_AGENT_REPUTATION_PROTOCOL,1,1,0.68,58.0
AI_AGENT_RISK_AND_PAYMENT_ORCHESTRATION,1,1,0.575,0.0
AI_AGENT_ROUTER,1,1,0.917,0.0
AI_AGENT_RUNTIME_SECURITY_PLATFORM,1,1,0.0,58.0
AI_AGENT_RWA_INVESTMENT_MANAGER,1,1,0.932,0.0
AI_AGENT_SDK_GENERATOR,1,1,0.0,19.0
AI_AGENT_SECURITY_GATEWAY,1,1,0.48,0.0
AI_AGENT_SECURITY_MONITOR,1,1,0.0,58.0
AI_AGENT_SECURITY_SCANNER,1,1,0.591,58.0
AI_AGENT_SERVICE_DISCOVERY,1,1,0.247,52.0
AI_AGENT_SERVICE_MARKETPLACE,1,1,0.069,27.0
AI_AGENT_SETTLEMENT_PROTOCOL,1,1,0.874,0.0
AI_AGENT_SIGNING_LAYER,1,1,0.646,0.0
AI_AGENT_SIMULATION,1,1,0.0,13.0
AI_AGENT_SIMULATION_BETTING_GAME,1,1,0.909,0.0
AI_AGENT_SIMULATION_ENGINE,1,1,0.402,0.0
AI_AGENT_SIMULATOR,1,1,0.402,0.0
AI_AGENT_SOCIAL_NETWORK,1,1,0.098,22.0
AI_AGENT_SPENDING_CONTROLLER,1,1,0.71,0.0
AI_AGENT_SPENDING_POLICY_ENGINE,1,1,0.5,0.0
AI_AGENT_SPEND_GOVERNANCE_GATEWAY,1,1,0.48,0.0
AI_AGENT_STRATEGY_GAME,1,1,0.758,167.0
AI_AGENT_STREAMING_PLATFORM,1,1,0.0,13.0
AI_AGENT_SUBSCRIPTION_ENGINE,1,1,0.083,52.0
AI_AGENT_TRAINING_ARENA,1,1,0.0,13.0
AI_AGENT_TRAINING_PLATFORM,1,1,0.14,40.0
AI_AGENT_TRANSACTION_GOVERNANCE,1,1,0.703,0.0
AI_AGENT_TRANSACTION_GOVERNOR,1,1,0.501,58.0
AI_AGENT_TRANSACTION_SECURITY_GATEWAY,1,1,0.48,0.0
AI_AGENT_TREASURY_MANAGEMENT,1,1,0.71,0.0
AI_AGENT_VERIFICATION_LAYER,1,1,0.666,0.0
AI_AGENT_VERIFICATION_PROTOCOL,1,1,0.66,0.0
AI_AGENT_WALLET_CONTROLLER,1,1,0.003,27.0
AI_AGENT_WALLET_FIREWALL,1,1,0.5,0.0
AI_AGENT_WALLET_GUARDRAIL,1,1,0.089,27.0
AI_AGENT_WALLET_RUNTIME,1,1,0.0,27.0
AI_AGENT_WALLET_SECURITY,1,1,0.0,27.0
AI_AGENT_WEB_AUTOMATION_PLATFORM,1,1,0.0,22.0
AI_AGENT_WORKFLOW_COORDINATOR,1,1,0.707,0.0
AI_AGENT_WORK_MARKETPLACE,1,1,0.925,0.0
AI_AGENT_WORK_SIMULATION,1,1,0.125,13.0
AI_AGRICULTURAL_ADVISOR,1,1,0.693,108.0
AI_ANALYTICS_AGENT,1,1,0.0,67.0
AI_ANALYTICS_ENGINE,1,1,0.305,18.0
AI_ANALYTICS_PLATFORM,1,1,0.0,67.0
AI_ANIMATION_PLATFORM,1,1,0.0,10.0
AI_API_ROUTING_MARKETPLACE,1,1,0.846,0.0
AI_ARBITRATION_PLATFORM,1,1,0.0,80.0
AI_ARTIFACT_VERIFICATION_LAYER,1,1,0.647,0.0
AI_ASSET_MANAGER,1,1,0.207,77.0
AI_ASSISTANT_WITH_ONCHAIN_PAYMENTS,1,1,0.56,52.0
AI_ASSISTED_ACADEMIC_MANAGEMENT_PLATFORM,1,1,0.737,37.0
AI_ASSISTED_CLINICAL_PLATFORM,1,1,0.0,28.0
AI_ASSISTED_CROSSCHAIN_PAYMENTS,1,1,0.86,0.0
AI_ASSISTED_CRYPTO_WALLET,1,1,0.0,12.0
AI_ASSISTED_DASHBOARD,1,1,0.528,30.0
AI_ASSISTED_DECENTRALIZED_EXCHANGE,1,1,0.094,40.0
AI_ASSISTED_DIGITAL_ASSET_MARKETPLACE,1,1,0.748,0.0
AI_ASSISTED_DIGITAL_LEGACY,1,1,0.662,0.0
AI_ASSISTED_FORTUNE_TELLING,1,1,0.72,0.0
AI_ASSISTED_FOUNDER_TOOLKIT,1,1,0.903,0.0
AI_ASSISTED_IP_REGISTRATION_PLATFORM,1,1,0.05,23.0
AI_ASSISTED_LOTTERY,1,1,0.0,167.0
AI_ASSISTED_NON_CUSTODIAL_WALLET,1,1,0.183,12.0
AI_ASSISTED_PAYOUT_AUTOMATION,1,1,0.729,0.0
AI_ASSISTED_RECRUITMENT_PLATFORM,1,1,0.0,13.0
AI_ASSISTED_TASK_COORDINATION,1,1,0.684,0.0
AI_ASSISTED_TRANSACTION_ENGINE,1,1,0.0,18.0
AI_ASSISTED_TRANSACTION_GUARD,1,1,0.775,0.0
AI_AUTOMATION_PLATFORM,1,1,0.098,22.0
AI_BEHAVIORAL_ANALYTICS_PLATFORM,1,1,0.88,0.0
AI_BEHAVIORAL_GUARDRAIL,1,1,0.871,0.0
AI_BRAND_PERCEPTION_MANAGEMENT_PLATFORM,1,1,0.0,27.0
AI_CAREER_MATCHING_PLATFORM,1,1,0.0,13.0
AI_COACHING_PLATFORM,1,1,0.539,28.0
AI_CODE_GENERATION_PLATFORM,1,1,0.0,27.0
AI_CODE_IMPROVEMENT_NETWORK,1,1,0.675,18.0
AI_COMMERCE_ASSISTANT,1,1,0.865,0.0
AI_COMMUNITY_TOKEN_AUDITOR,1,1,0.669,54.0
AI_COMPANION_AGENT,1,1,0.504,0.0
AI_COMPANION_DEVICE,1,1,0.662,0.0
AI_COMPANION_WITH_ONCHAIN_MEMORY,1,1,0.662,0.0
AI_COMPLIANCE_INFRASTRUCTURE,1,1,0.804,0.0
AI_COMPUTATION_INFRASTRUCTURE,1,1,0.0,16.0
AI_COMPUTE_CREDIT_MARKETPLACE,1,1,0.212,18.0
AI_CONSENSUS_ORACLE,1,1,0.718,139.0
AI_CONTENT_AUTHENTICATOR,1,1,0.0,24.0
AI_CONTENT_RISK_SCANNER,1,1,0.689,54.0
AI_CONTRACT_AUDITOR,1,1,0.804,0.0
AI_CONVERSATION_SHARING_PLATFORM,1,1,0.874,0.0
AI_CREATIVITY_DEVELOPMENT_PLATFORM,1,1,0.926,0.0
AI_CREDIT_CROWDFUNDING_PLATFORM,1,1,0.0,16.0
AI_CRYPTO_RESEARCH_ASSISTANT,1,1,0.654,0.0
AI_CUSTOMER_ACQUISITION_PLATFORM,1,1,0.154,27.0
AI_DAPP_GENERATOR,1,1,0.0,27.0
AI_DATA_LABELING_PLATFORM,1,1,0.288,0.0
AI_DATA_ORACLE,1,1,0.906,0.0
AI_DATING_AGENT_PLATFORM,1,1,0.89,0.0
AI_DECISION_PROTOCOL,1,1,0.0,16.0
AI_DEFI_ADVISOR,1,1,0.819,0.0
AI_DEFI_AGENT_PLATFORM,1,1,0.0,18.0
AI_DEFI_AUTOMATION_AGENT,1,1,0.089,18.0
AI_DEFI_COPILOT,1,1,0.158,18.0
AI_DEFI_EXECUTION_LAYER,1,1,0.0,19.0
AI_DEFI_RISK_ADVISOR,1,1,0.819,0.0
AI_DEFI_TASK_AUTOMATION,1,1,0.868,0.0
AI_DEFI_YIELD_OPTIMIZER,1,1,0.479,77.0
AI_DESIGN_ASSISTANT,1,1,0.025,27.0
AI_DEVELOPER_AGENT_FRAMEWORK,1,1,0.0,27.0
AI_DEVELOPER_COPILOT,1,1,0.239,67.0
AI_DIAGNOSTIC_ASSISTANT,1,1,0.539,28.0
AI_DOCUMENT_GENERATOR,1,1,0.025,27.0
AI_DRIVEN_IDLE_GAME,1,1,0.703,167.0
AI_DRIVEN_MANUFACTURING_NETWORK,1,1,0.914,0.0
AI_DRIVEN_ORACLE_NETWORK,1,1,0.45,0.0
AI_DUE_DILIGENCE_PLATFORM,1,1,0.0,21.0
AI_EDUCATIONAL_ASSISTANT,1,1,0.683,37.0
AI_EMAIL_CLIENT,1,1,0.161,22.0
AI_FIGHTING_GAME_BETTING_PLATFORM,1,1,0.724,167.0
AI_FINANCIAL_AGENT,1,1,0.857,0.0
AI_FINANCIAL_ANALYST,1,1,0.593,67.0
AI_FINANCIAL_AUTOMATION_PLATFORM,1,1,0.874,0.0
AI_FINANCIAL_COACH,1,1,0.677,37.0
AI_FINTECH_OPERATIONS_PLATFORM,1,1,0.59,103.0
AI_FORENSIC_ANALYTICS_TOOL,1,1,0.46,58.0
AI_FORENSIC_DOCUMENT_ANALYZER,1,1,0.0,23.0
AI_GENERATED_MOBILE_GAME_PLATFORM,1,1,0.64,167.0
AI_GENERATED_WALLET_SKINS,1,1,0.0,27.0
AI_GENERATIVE_DIGITAL_WORLD,1,1,0.0,10.0
AI_GENERATIVE_NARRATIVE_PLATFORM,1,1,0.0,10.0
AI_GOVERNANCE_ASSISTANT,1,1,0.902,0.0
AI_GOVERNANCE_MIDDLEWARE,1,1,0.892,0.0
AI_GOVERNANCE_PLATFORM,1,1,0.05,23.0
AI_GRID_OPTIMIZATION_COPILOT,1,1,0.712,108.0
AI_HEALTHCARE_ASSISTANT,1,1,0.0,28.0
AI_HEALTH_ASSISTANT,1,1,0.539,28.0
AI_HIRING_TOOL,1,1,0.0,13.0
AI_IDENTITY_VERIFICATION_SERVICE,1,1,0.0,35.0
AI_IMAGE_GENERATION_MODEL,1,1,0.0,10.0
AI_INFERENCE_VERIFICATION_PROTOCOL,1,1,0.05,23.0
AI_INFRASTRUCTURE_COMPONENT,1,1,0.636,108.0
AI_INFRASTRUCTURE_CONTROL_PLANE,1,1,0.06,22.0
AI_INTEGRITY_PROTOCOL,1,1,0.631,0.0
AI_INTENT_PROCESSOR,1,1,0.896,0.0
AI_INTERVIEW_COACH,1,1,0.0,13.0
AI_INVESTIGATION_WORKSPACE,1,1,0.0,23.0
AI_INVESTMENT_AGENT_PLATFORM,1,1,0.891,0.0
AI_INVESTMENT_ASSISTANT,1,1,0.647,0.0
AI_JOB_APPLICATION_AUTOMATION,1,1,0.0,13.0
AI_JUDGED_COMPETITIVE_DEBATE,1,1,0.763,167.0
AI_JUDGMENT_PLATFORM,1,1,0.102,21.0
AI_KNOWLEDGE_ASSISTANT,1,1,0.025,27.0
AI_KNOWLEDGE_BASE,1,1,0.05,23.0
AI_KNOWLEDGE_GRAPH_ENGINE,1,1,0.748,0.0
AI_KNOWLEDGE_MARKETPLACE,1,1,0.0,13.0
AI_LANGUAGE_MODEL_DEVELOPMENT,1,1,0.295,0.0
AI_LANGUAGE_TRANSLATOR,1,1,0.0,12.0
AI_LEARNING_AGENT_PLATFORM,1,1,0.242,37.0
AI_LEGAL_ASSISTANT,1,1,0.025,27.0
AI_LP_MANAGER,1,1,0.879,0.0
AI_MANAGED_PORTFOLIO_PLATFORM,1,1,0.405,77.0
AI_MANAGED_YIELD_VAULT,1,1,0.293,77.0
AI_MARKETING_AUTOMATION_PLATFORM,1,1,0.922,0.0
AI_MARKETING_STRATEGY_ENGINE,1,1,0.198,22.0
AI_MARKET_INTELLIGENCE_PLATFORM,1,1,0.764,0.0
AI_MARKET_NARRATIVE_ENGINE,1,1,0.36,30.0
AI_MATCHMAKING_PLATFORM,1,1,0.756,35.0
AI_MEDIA_ASSET_PLATFORM,1,1,0.0,10.0
AI_MEDIA_CREATION_PLATFORM,1,1,0.0,10.0
AI_MEDIA_PRODUCTION_ORCHESTRATOR,1,1,0.403,0.0
AI_MEMORY_PROTOCOL,1,1,0.663,0.0
AI_MODEL_ACCESS_GATEWAY,1,1,0.526,52.0
AI_MODEL_FEEDBACK_PLATFORM,1,1,0.893,0.0
AI_MONETIZATION_PLATFORM,1,1,0.83,0.0
AI_MOTION_CAPTURE_PLATFORM,1,1,0.052,27.0
AI_NATIVE_IDENTITY_SYSTEM,1,1,0.662,0.0
AI_NEGOTIATED_OPTIONS_PROTOCOL,1,1,0.0,10.0
AI_ONCHAIN_AUTOMATION_AGENT,1,1,0.0,18.0
AI_OPERATIONAL_PLATFORM,1,1,0.0,22.0
AI_OPTIMIZATION_PLATFORM,1,1,0.712,108.0
AI_OPTIMIZED_YIELD_AGGREGATOR,1,1,0.223,77.0
